jahr,date,titel,titelEN,text,textEN,extra,extraEN,link,kategorie
1823,29.11.1823,Heirat,Marriage,"Vermählung mit der Prinzessin Elisabeth Ludovika von Bayern, die Ehe bleibt kinderlos","Frederick William marries Elisabeth Ludovika of Bavaria, their marriage remains childless","Um endlich zu heiraten, hatte Friedrich Wilhelm am bayerischen Hof in der Prinzessin Elisabeth die Richtige gefunden, welche aber, laut preußischem Erbfolgerecht, als Katholikin die Falsche war. Sie fanden einen Kompromiss, nach dem Elisabeth ihre Konfession zwar (zunächst) beibehalten sollte, sich aber verpflichtete, Unterricht in den protestantischen Glaubenslehren zu nehmen, und überdies Zurückhaltung im Praktizieren des Katholizismus versprach. 1830 trat sie schließlich zur Evangelischen Kirche über. ","With Elisabeth Ludovika of Bayern, Frederick William had finally found the right woman to marry. However, according to the Prussian law of succession, as a Catholic she was not the right candidate. They came to a compromise; Elisabeth was allowed to keep her denomination, but agreed to take lessons in the Protestant doctrines, and also promised restraint in practicing Catholicism. In 1830 she eventually converted to the Protestant Church nonetheless.",https://de.wikipedia.org/wiki/Elisabeth_Ludovika_von_Bayern,Lebensdaten - Persönliches - Prägendes
1824-1828,,Gestaltung seines Arbeits- und Wohnzimmers,Design of study and living room,Sein Arbeits- und Wohnzimmer in der Erasmuskapelle im Berliner Schloss ließ der Kronprinz nach eigenen Entwürfen von Karl Friedrich Schinkel einrichten,The crown prince had his study and living room in the Erasmus chapel in the Berlin castle furnished by Karl Friedrich Schinkel to his very own designs,"Zwischen 1824 und 1828 nahm Friedrich Wilhelm mit zahlreichen Zeichnungen konstruktiv Einfluss auf die Gestaltung und Ausstattung dieses Raumes. Religion diente als Grundlage für die staatspolitischen Auffassungen Friedrich Wilhelms. Die Wahl der Erasmuskapelle als Arbeits- und Wohnzimmer zeigt, wie sehr Friedrich Wilhelm vom Gottesgnadentum seiner Herrschaft überzeugt war und dass er sich vom Glauben an Gott in seinem täglichen politischen Tun leiten lassen wollte. ","Between 1824 and 1828, Frederick William constructively exerted influence on the design and furniture of his room with numerous drawings. Religion was the basis for the political conceptions of Frederick William. Choosing the Erasmus Chapel as his study and living room shows how much Frederick William was convinced of the divine right of his rule and that he wanted to be guided in his daily political action by the faith in God.",,Künstlerisches - Architektonisches - Religiöses
1825,24.12.1825,Vater schenkt ihm das Gut Charlottenhof,Receives Charlottenhof estate,Der Kronprinz erhielt das südlich von Sanssouci gelegene Gut Charlottenhof zu Weihnachten geschenkt,The crown prince receives the Charlottenhof estate south of Sanssouci as a Christmas gift from his father,"Auf dem Gut Charlottenhof konnte Friedrich Wilhelm nun seine privaten Architektur- und Gartenträume im Rahmen seiner finanziellen Möglichkeiten verwirklichen. Der Kronprinz wollte sich mit Charlottenhof seine Vorstellung eines Ideals – dem Landleben in einer in eine südländische Landschaft eingebetteten Villa – verwirklichen. Die Planungen Friedrich Wilhelms, an denen der Gartendirektor Peter Joseph Lenné, der Hofgärtner Hermann Sello und die Architekten Karl Friedrich Schinkel und Ludwig Persius beteiligt wurden, begannen vermutlich bereits vor dem Kauf und lassen sich bis in die erste Hälfte der 1840er Jahre verfolgen.","On the Charlottenhof estate Frederick William could now realize his private architectural and garden dreams within his financial possibilities. With Charlottenhof the crown prince wanted to realize his conception of ​​an ideal - the country life of a villa embedded in a Mediterranean landscape. The plans of Frederick William, in which the garden director Peter Joseph Lenné, the court gardener Hermann Sello, the architects Karl Friedrich Schinkel and Ludwig Persius were involve, began probably already before buying the estate and can be traced to the first half of the 1840s.",,Lebensdaten - Persönliches - Prägendes
1828,,Erste Italienreise,First journey to Italy,"Von September bis Dezember bereist Friedrich Wilhelm das erste Mal Italien, der Kronprinz sammelt zahlreiche künstlerische und architektonische Eindrücke","From September to December, Frederick William travels to Italy for the first time; the crown prince collects numerous artistic and architectural impressions","Die antiken Kaiserforen in Rom dienten als Vorbilder für einen Entwurf für die Passage zwischen dem Schlossplatz und dem Werderschen Markt. In Potsdam sollte ein Friedrichtempel nach dem Vorbild des Tempels der Venus und Roma vom Forum in Rom, eine Anlage nach dem Vorbild des Augustusforum und ein Ehrenfeld entstehen. Weder die Passage noch die Potsdamer Planungen wurden
ausgeführt. In die arkadischen und südlich geprägten Phantasielandschaften, die Friedrich Wilhelm in den 1820er Jahren zeichnete, flocht er oftmals existierende Bauten ein. Das von Altro Arno aus gesehene Florenz mit Dom und Domkuppel gehörte dabei zu den beliebten Motiven.","The ancient forums in Rome served as models for a design of the passage between the Palace Square and the Werder market. In Potsdam, a Frederick temple modeled after the Temple of Venus and Roma, a space modeled after the Forum of Augustus and a field of honor was intended to be built. Neither the passage nor the Potsdam plans were
executed. In the Arcadian and south embossed fantasy landscapes that drew Friedrich Wilhelm in the 1820s, he often wove existing buildings. The Florence Cathedral seen from Altro Arno belonged to the popular designs.",,Lebensdaten - Persönliches - Prägendes
1830,,Julirevolution,July Revolution,Durch eine erneute Revolution in Frankreich entstanden Unruhen und Reformen in vielen Ländern Deutschlands und Europas,"Sparked by a resuming revolution in France, riots and reforms also emerged in many countries of Germany and Europe","1815, nach der endgültigen Niederlage Napoleons, erhielt Preußen im Rahmen der Neuaufteilung Europas beim Wiener Kongress mit dem Rheinland und Westfalen große Gebiete im Westen zugesprochen. Durch die Julirevolution 1830 kamen Spannungen zwischen der katholischen Kirche im Rheinland und dem preußischen Staat zu tragen und machten die katholische Bevölkerung politisch bewusst.","In 1815, after the final defeat of Napoleon, Prussia received under the redivision of Europe by the Congress of Vienna the Rhineland and Westphalia. Through the July Revolution in 1830 tensions arose between the Catholic Church in the Rhineland and the Prussian state, making the Catholic population politically conscious.",,Politisches - Militärisches - Revolutionäres
1833,,Rheinische Kulturlandschaft,Rhenish cultural landscape,"Auseinandersetzung mit dem kulturellen Erbe des Rheinlandes mit dem Ziel, die Integration des 1815 Preußen zugesprochenen Rheinlandes voranzutreiben",The crown prince engages with the cultural heritage of the Rhineland with the aim of promoting its integration into Prussia after it was annexed in 1815,"Die von der Julirevolution angefachten Unruhen in Europa führten auch zu Spannungen zwischen der katholischen Kirche im Rheinland und dem preußischen Staat. Friedrich Wilhelm wollte durch die Wiederherstellung geschichtlich bedeutsamer Bauten seinen eigenen baukünstlerischen Vorstellungen Ausdruck verleihen und zugleich einen Beitrag zur kulturpolitischen Integration des Rheinlandes in den preußischen Staatsverband leisten. Somit war der Moment gekommen, seine Verbundenheit mit den rheinischen Baudenkmälern in eine konkrete baupolitische Strategie umzusetzen.","The unrest in Europe fanned by the July revolution also led to tensions between the Catholic Church in the Rhineland and the Prussian state. Frederick William wanted to impart his own architectural ideas through the restoration of historically important buildings, while making a contribution to the cultural and political integration of the Rhineland in the Prussian state association. Thus, the moment had come to implement his connection with the Rhine monuments into a concrete building-political strategy.",,Künstlerisches - Architektonisches - Religiöses
1835,,Zweite Italienreise,Second journey to Italy,Diesmal reist Friedrich Wilhelm in Begleitung seiner Frau,This time Frederick William is accompanied by his wife,Das Kronprinzenpaar besucht auf seiner Reise unter anderem Oberitalien und Venedig.,"On their journey, the royal couple visited among other Northern Italy and Venice.",,Lebensdaten - Persönliches - Prägendes
1840,07.06.1840,Tod des Vaters,Death of his father,König Friedrich Wilhelm III. stirbt in Berlin,King Frederick William III dies in Berlin,"Nach dem Tod des Vaters entstand bei Friedrich Wilhelm IV. der Plan, das Mausoleum im Park des Charlottenburger Schlosses, welches vom Vater nach dem Tod seiner Frau, Königin Luise von Preußen, 1810-1812 errichtet wurde, für die Aufnahme des Sarkophages zu erweitern. Erste Pläne dazu stammen noch von Schinkel. Diese Änderung des Mausoleums geht auf eine Idee Friedrich Wilhelms IV. zurück, von dem zwei Grundrissskizzen überliefert sind. Die Umsetzung erfolgte in den Jahren 1841/1842. ","After the death of his father, Frederick William IV started to plan the expansion of the mausoleum in the park of Charlottenburg Palace for the inclusion of the sarcophagus. The mausoleum was built 1810-1812 by the father after the death of his wife, Queen Louise of Prussia. The initial plans were done by Schinkel. This change of the mausoleum dates back to an idea of ​​Frederick William IV, of which two floor plan sketches still exist. The implementation took place in the years 1841/1842.",,Lebensdaten - Persönliches - Prägendes
1840,07.06.1840,Thronbesteigung,Accession,König Friedrich Wilhelm IV. besteigt den Thron,King Frederick William IV ascends the throne,"Die Thronbesteigung Friedrich Wilhelms IV. war im liberalen und patriotischen Lager mit großen Erwartungen verknüpft. Den Hoffnungen schien Friedrich Wilhelm zunächst zu entsprechen, als er als erster preußischer König vor zehntausenden Zuschauern öffentliche Reden hielt.",The accession of Frederick William IV was linked with great expectations in the liberal and patriotic camp. Frederick William seemed to meet these hopes when he gave public speaches as the first Prussian king before tens of thousands of spectators.,https://de.wikipedia.org/wiki/Friedrich_Wilhelm_IV.#Die_Regierung_Friedrich_Wilhelms_IV.,Lebensdaten - Persönliches - Prägendes
1842,04.09.1842,Dombaufest in Köln,Cathedral construction ceremony in Cologne,"Friedrich Wilhelm IV. nimmt in Köln am Dombaufest teil, auf dem der Grundstein zum Weiterbau des unvollendeten gotischen Domes gelegt wird","Frederick William IV takes part in the construction ceremony of the Cologne Cathedral, where the first stone is laid for the continued construction of the hitherto unfinished Gothic cathedral","Am 27. Februar 1843, ein Jahr nach der Grundsteinlegung, ordnete Friedrich Wilhelm IV. für den Kölner Dom den „Ausbau nach dem Originalplane“ an. Diese Entscheidung legt dar, wie ernsthaft dem König an der Orientierung am Mittelalter gelegen war. Friedrich Wilhelm IV. hat zur Zeit des Domfortbaus in den 1840er und 1850er Jahren keine Zeichnungen zu diesem Projekt mehr angefertigt. In dieser Zeit gab es bereits klare Absprachen bezüglich der Orientierung an den historischen Originalplänen.","On 27 February 1843, one year after the groundbreaking ceremony, Frederick William IV ordered for the Cologne Cathedral the ""expansion according to the original plan"". This decision spells out how serious the king was about the orientation towards the Middle Ages. Frederick William IV has no drawings related to this project made at the time of the cathedral extension in the 1840s and 1850s. During that time there was already a clear agreement concerning the orientation towards the historic original plans.",http://www.preussenchronik.de/ereignis_jsp/key=chronologie_006100.html,Künstlerisches - Architektonisches - Religiöses
1844,26.07.1844,Attentat auf den König,Attempted assasination of the King,"Der ehemalige Bürgermeister von Storkow, Heinrich Ludwig Tschech, verübte ein Attentat auf König Friedrich Wilhelm IV., der jedoch unverletzt blieb","The former mayor of Storkow, Heinrich Ludwig Tschech, attempted to assassinate King Frederick William IV, who, however, remained unhurt","Nachdem Tschech zahlreiche Gesuche um Wiedereinstellung an preußische Behörden gerichtet hatte, hiermit aber erfolglos geblieben war, und zuletzt erfolglos an den König selbst appelliert hatte, fasste er schließlich den Entschluss, den König zu töten und dadurch vor der Welt seine verletzte Ehre wiederherzustellen. Er feuerte mit einer doppelläufigen Pistole auf das Königspaar, der König und die Königin blieben unversehrt. Eine der beiden Kugeln traf lediglich den Mantel der Königin.","After Tschech had addressed numerous unsusccessful requests for re-employment by Prussian authorities and finally appealed unsuccessfully to the king himself, he finally made the decision to kill the king and thereby restore his wounded honor before the world. He fired a double-barreled gun on the royal couple, the king and queen remained unharmed. One of the bullets hit only the coat of the Queen.",https://de.wikipedia.org/wiki/Heinrich_Ludwig_Tschech,Lebensdaten - Persönliches - Prägendes
1845,14.04.1845,Grundsteinlegung Friedenskirche,Groundbreaking of Friedenskirche,Grundsteinlegung der 1848 geweihten Friedenskirche im Park von Sanssouci nach Plänen des Hofarchitekten Ludwig Persius,Laying of the first stone for the Church of Peace (Friedenskirche) in Sanssouci that is consecrated in 1848 and is built according to plans by the court architect Ludwig Persius,,,https://de.wikipedia.org/wiki/Friedenskirche_(Potsdam),Künstlerisches - Architektonisches - Religiöses
1847,,Dritte Italienreise,Third journey to Italy,,,,,,Lebensdaten - Persönliches - Prägendes
1847,01.04.1847,Einberufung des Landtages,Convening of Parliament,"Einberufung des Vereinigten Landtages durch Friedrich Wilhelm IV., der König lehnte die Forderung nach Einführung einer Verfassung in Preußen ab, die bereits 1815 von seinem Vater in Aussicht gestellt worden war","Convening of the Prussian united state parliament by Frederick William IV. The king rejected the demand for the introduction of a constitution in Prussia, that was held out in prospect by his father in 1815","In seiner Rede zur Eröffnung des Landtages brüskierte Friedrich Wilhelm die Abgeordneten: „Es drängt mich zu einer feierlichen Erklärung: dass es keiner Macht der Erde jemals gelingen soll, Mich zu bewegen, das natürliche, gerade bei uns durch seine innere Wahrheit so mächtig machende Verhältniß zwischen Fürst und Volk in ein conventionelles, constitutionelles zu wandeln, und dass ich es nun und nimmermehr zugeben werde, dass sich zwischen unseren Herr Gott im Himmel und dieses Land ein beschriebenes Blatt gleichsam als zweite Vorsehung eindränge, um uns mit seinen Paragraphen zu regieren und durch sie die alte, heilige Treue zu ersetzen.“","In his speech at the opening of the assembly, Frederick Wilhelm snubbed the deputies: ""I am pushed to a solemn declaration: that no power on earth shall ever succeed to move me to transform the natural, especially through its internal truth, empowering relation between prince and people into a concentional, constitutional one, and that I'll never admit that a written page is thrusted between our God and this country as a second providence to rule us through paragraphs and replace the old and saced loyalty.",https://de.wikipedia.org/wiki/Vereinigter_Landtag,Politisches - Militärisches - Revolutionäres
1848,06.03.1848,Märzrevolution in Preußen,March revolution in Prussia,Zentrale Anliegen der Revolutionäre waren eine Verfassung mit Repräsentativorgan und die Verbesserung der sozialen Ordnung,Main requests of the revolutionaries were a constitution with a representative body and the improvement of social order,"Nachdem Friedrich Wilhelm IV. unter dem Druck der Revolutionäre einwilligt den Landtag einzuberufen, die Pressefreiheit einzuführen, die Zollschranken zu beseitigen und den Deutschen Bund zu reformieren kommt es bei der Verlesung des entsprechenden Patents vor dem Berliner Stadtschloss zum bewaffneten Kampf zwischen Bürgern und Militär. Während der Verlesung werden nach anfänglich friedlicher Stimmung revolutionäre Parolen laut. Zwei Schüsse lösen sich, ob beabsichtigt oder aus einem Missverständnis, wird nie geklärt. Es folgt ein Umschlagen der Stimmung der Demonstranten und der gezielte Einsatz des Militärs. Heftige Straßen- und Barrikadenkämpfe schließen sich an und fordern mehrere hundert Tote. Ein Tag nach den blutigen Aufständen, am 19.03.1848, sieht sich König Friedrich Wilhelm IV. gezwungen, vor den auf dem Schlosshof aufgebahrten „Märzgefallenen“ zu erscheinen und seine Mütze zu ziehen. Am 21. März reitet er mit Schwarz-Rot-Goldener Schärpe durch Berlin und erklärt, er wolle Deutschlands Freiheit, Deutschlands Einigkeit. In einem Brief an seinen Bruder, den Prinzen Wilhelm, schreibt der König jedoch: „Die Reichsfarben musste ich gestern freiwillig aufstecken, um Alles zu retten. Ist der Wurf gelungen […], so lege ich sie wieder ab!“","Under the pressure of the revolutionaries, Frederick William IV agrees to convene the parliament to introduce freedom of the press, to eliminate tariff barriers and to reform the German Confederation. During the reading of the respective bill, an armed struggle arises between citizens and military in front of the Berlin City Palace. During the reading, revolutionary slogans are loud after an initially peaceful mood. Two shots are fired, whether intentionally or through a misunderstanding is never clarified. What follows is a shift in the mood of the demonstrators and the targeted use of military force. Violent street and barricade fighting erupt resulting in several hundred dead. One day after the bloody riots, on 19 March 1848, King Frederick William IV is compelled to appear before the laid out dead (""Märzgefallenen"") in the courtyard and pulling his cap. On March 21, he rides with black-red-golden sash through Berlin and declares that he wanted Germany's freedom, Germany's unity. In a letter to his brother, Prince William, the king writes though: ""The Reich colors I had to put on yesterday voluntarily to save everything. Is it a success [...], so I put them off again!""",https://de.wikipedia.org/wiki/Deutsche_Revolution_1848/1849,Politisches - Militärisches - Revolutionäres
1848,05.12.1848,Oktroyierte Verfassung,Imposed constitution,Friedrich Wilhelm IV. verordnete die Auflösung der preußischen Nationalversammlung und oktroyierte am selben Tag selbst eine seinen Vorstellungen entsprechende Verfassung,Frederick William IV ordered the dissolution of the Prussian National Assembly and imposed a constitution according to his own ideas,"Die oktroyierte Verfassung blieb weit hinter den Forderungen der Märzrevolution zurück. Zwar sah sie ein frei gewähltes Parlament vor, tastete die Machtposition des Königs jedoch nicht an. Dieser behielt sich das Vetorecht gegen alle Beschlüsse des preußischen Landtags vor sowie das Recht, das Parlament jederzeit auflösen zu können. Das Staatsministerium – die preußische Regierung – war nicht dem Parlament, sondern nur dem König gegenüber rechenschaftspflichtig. Dennoch enthielt die Verfassung zunächst noch einige liberale Zugeständnisse, die allerdings in den Folgemonaten modifiziert wurden.","The imposed constitution fell far short of the demands of the March Revolution. Although it specifies a freely elected parliament, it did not touch the power position of the king. He reserved the right to veto any decision of the Prussian parliament and the right to dissolve parliament at any time. The State Ministry – the Prussian government – was not accountable to the parliament, but only to the king. Nevertheless, the constitution still contained initially some liberal concessions, which were, however, modified in the following months.",,Politisches - Militärisches - Revolutionäres
1849,03.04.1849,Ablehnung der Kaiserkrone,Rejection of the imperial crown,Friedrich Wilhelm IV. lehnt die ihm von der Frankfurter Nationalversammlung angebotene Kaiserkrone ab,Frederick William IV rejects the imperial crown offered to him by the National Assembly in Frankfurt,"Die Kaiserkrone „mit ihrem Ludergeruch nach Revolution” war für ihn unannehmbar. Er sei sich zu gut, verkündete er, um „eine erfundene aus Dreck und Letten geknetete Krone anzunehmen, die ihm zum Knecht eines Prinzips, einer Nationalversammlung, ja auch von Fürsten und Königen macht. ... Sie verdient nur Ekel und Abscheu.” Allein von einer Fürstenversammlung hätte er die Kaiserkrone entgegengenommen.","The imperial crown ""with her hussy smell of revolution"" was unacceptable to him. He is too good, he announced to ""assume a fictional crown, kneaded from mud and loam, that makes him a slave to a principle, a national assembly, and even of princes and kings. ... It deserves only disgust and loathing."" Only from an assembly of princes he would have received the imperial crown.",,Politisches - Militärisches - Revolutionäres
1849,17.07.1849,Dreiklassenwahlrecht,Three-class franchise system,Die zweite Kammer des preußischen Landtags wird nach dem von Friedrich Wilhelm verordneten Dreiklassenwahlrecht gewählt. Aus der Wahl geht eine monarchische Mehrheit hervor,The second chamber of the Prussian Parliament is elected according to a three-class franchise system prescribed by Frederick William. The result of the election is a monarchical majority.,,,,Politisches - Militärisches - Revolutionäres
1853,,Vierte Italienreise,Fourth journey to Italy,,,,,,Lebensdaten - Persönliches - Prägendes
1858,07.10.1858,Schlaganfälle und Rücktritt,Strokes and resignation,"Friedrich Wilhelm IV. überträgt nach mehreren Schlaganfällen die Regierungsgewalt an den Thronfolger, seinen Bruder Prinz Wilhelm (I.)","After several strokes, Frederick William IV transfers the governance to the successor to the throne, his brother Prince William I.","Ab dem 14. Juli 1857 erlitt Friedrich Wilhelm IV. mehrere Schlaganfälle, wodurch auch sein Sprachzentrum in Mitleidenschaft gezogen wurde. Nachdem die Stellvertretung durch seinen Bruder Wilhelm drei Mal verlängert worden war, sorgte seine Frau, Königin Elisabeth, dafür, dass der kranke König am 7. Oktober 1858 die Regentschaftsurkunde für den Thronfolger, den Prinzen Wilhelm, unterschrieb. Es folgte eine letzte Italienreise mit Elisabeth u. a. nach Florenz, Rom, Neapel und Pompeji. ","As of July 14 1857 Frederick William IV suffered several strokes, whereby his speech center was affected. After the delegation to his brother Wilhelm has been extended three times, his wife, Elizabeth, arranged that the sick king signed on 7 October 1858 the regency certificate for the heir to the throne, Prince William. There was a final trip to Italy with Elizabeth among others to Florence, Rome, Naples and Pompeii.",,Lebensdaten - Persönliches - Prägendes
1861,02.01.1861,Tod des Königs,Death of the King,"Friedrich Wilhelm IV. stirbt im Schloss Sanssouci, Beisetzung in der Friedenskirche in Potsdam, sein Herz ruht bei seinen Eltern im Mausoleum von Schloss Charlottenburg","Frederick William IV dies at Sanssouci Palace, he is buried in the Church of Peace (Friedenskirche) in Potsdam, his heart rests with his parents in the mausoleum of Charlottenburg Palace","Um Mitternacht, mit Beginn des Jahres 1861, telegrafierte sein Adjutant Prinz Kraft zu Hohenlohe-Ingelfingen: „Plötzlich schnellerer Verlauf zum Ende als dies zu erwarten war. Ableben jeden Augenblick möglich. Alleruntertänigstes Anheimstellen, ob und wann von der Königlichen Familie dies in der Nacht mitzuteilen.“ Am 2. Januar 1861 setzte ein letzter Schlaganfall den Leiden des Königs ein Ende. ","At midnight, with the beginning of 1861, his aide telegraphed to Prince Kraft zu Hohenlohe-Ingelfingen: ""Suddenly a course at the end faster than was expected. Death possible every moment. Subservient leaving it to discretion as to if and when to inform of the royal family in the night."" On 2 January 1861 a last stroke put an end to the suffering of the king.",https://de.wikipedia.org/wiki/Friedrich_Wilhelm_IV.,Lebensdaten - Persönliches - Prägendes